temperatura_real,temperatura_predicha
11.5,11.261982466471046
11.0,10.77976880394976
13.0,12.856256861080418
17.0,16.89418996826358
20.0,20.01427163308625
20.0,19.967669418799407
23.0,22.977913539153327
22.1,22.26600459183995
23.3,23.26715551970971
24.0,23.997327525364252
22.0,22.08590573257461
22.0,22.04783891436919
18.0,18.128463144907546
17.7,17.739256068166256
16.0,16.05040887848195
15.0,14.956489395645745
13.0,12.889939607265761
11.0,11.023121153094708
12.9,12.536191117202653
12.3,12.16179256392113
11.8,11.919875056129074
6.0,6.0311676438184065
6.0,6.014396162053156
7.0,7.094148823854143
8.0,7.92000022744464
8.0,7.93019367155615
12.0,12.117041048304234
14.0,13.79755817705978
17.0,16.98488479199156
20.0,20.014120954402223
22.0,21.995221436810468
23.0,22.994045768704353
23.0,23.008189428113866
23.3,23.292339157234004
23.0,23.044820305955955
21.0,21.024128190110794
19.0,18.950380316283436
18.0,17.97505203060092
16.0,15.947474153098822
15.0,14.970814653277367
14.0,14.009285104487356
12.0,11.959821532462518
10.0,10.003024235666086
10.0,10.004250344868126
9.0,8.99983519176764
8.0,8.021754227017809
7.0,7.011299816745213
7.0,7.009238526615327
7.0,7.056633867132162
8.0,8.066994289364887
12.0,11.97958782028091
16.0,15.982178633181286
19.0,18.991498035179976
21.0,20.92586196206052
23.0,23.014083016008346
23.0,23.008032147796648
23.0,23.011562574975972
23.0,23.01201371532475
22.0,21.962151263626428
19.0,19.08496149636998
17.0,17.15040712779567
17.0,17.02155641775167
16.0,15.989338373209959
16.0,15.969643064718582
15.0,15.012253295949398
14.0,14.006185915344544
13.0,13.022819741754102
12.0,11.962677374777133
11.0,11.000989410316652
10.0,10.000905675578702
9.0,9.000617999984403
9.0,9.00884059158071
11.0,11.188344715222113
13.0,13.072033907451637
15.0,14.988072398200831
19.0,19.01266373564552
21.0,20.92533297721248
21.0,20.981151535538423
22.0,22.015722995106742
23.0,22.99498885325922
23.0,23.00806197916631
22.0,21.962167927172825
20.0,20.033454592812994
19.0,18.956149627086425
19.0,18.947236558352287
16.0,15.948511867008495
15.0,14.962163767276273
14.0,14.007067338295812
14.0,14.010047308768977
12.0,11.955361545998718
