fold,mse,mae,r2
1,0.03631371563399455,0.04582545285405072,0.9953061462622256
2,0.011473435091596592,0.03398267451252414,0.9987327899467631
3,0.008509745208039972,0.03174681664318069,0.9989635493567038
4,0.04894136047911665,0.11396835399771911,0.9973825228869644
5,0.014774473181167836,0.07426889539355136,0.999295312356612
