fold,mse,mae,r2
1,0.035544114013098774,0.055736751532834784,0.9985135063110944
2,0.005400939262893367,0.03741268955002809,0.9997197155498317
3,0.003762513727746438,0.028314877196925603,0.9998478011689967
4,0.002794845023628693,0.030391527503404413,0.9998740134871674
5,0.014919123322134745,0.028666043437570714,0.9993241710374176
