temperatura_real,temperatura_predicha
12.0,11.987073948261916
15.0,14.97400880404508
19.0,19.008968369256085
22.0,21.986292542051977
23.0,22.968651939921745
23.0,23.01114239303512
25.0,25.035436627160312
25.0,25.017273058443088
26.0,26.024554979169775
24.0,23.979067850971248
24.0,24.110744276728347
21.0,21.046898023413963
21.0,21.02142658321927
18.0,18.019848867690644
18.0,18.003547497184258
16.0,16.004044014576646
16.0,16.002098130077897
14.0,14.002354318843455
12.0,11.956974734642337
12.0,12.00261155990456
10.0,10.03684618538127
10.0,10.034035112831392
10.0,10.005545601631637
10.0,10.010561674660245
12.0,12.020120345268525
16.0,16.044448414055093
20.0,19.941316138491374
21.0,21.023992841882478
23.0,23.038364315608163
26.0,25.94286515344522
27.0,26.948478678633066
27.0,27.0176196018719
27.0,27.018177767213466
26.0,25.985688795633866
24.0,23.993771549709123
20.0,19.957700219026144
20.0,20.013432819889548
18.0,18.0021722080525
18.0,18.000267872835444
17.0,16.993986915464863
17.0,17.014540734583047
16.0,16.00767637138496
15.0,15.004276794744648
15.0,15.00617714331969
14.0,13.989295537960155
13.0,13.006051708247291
12.0,12.010037533834733
13.0,12.97446736574785
15.0,15.022941283408882
18.0,18.002584772633437
21.0,21.1239788549634
23.0,23.04117048805472
24.0,24.054913604503568
26.0,25.996305811716834
28.0,27.952582618546323
28.0,28.00258161787938
26.0,25.908275234164098
26.0,25.93132676387823
23.0,22.95764511508181
21.0,20.972652367618913
20.0,20.00201315246168
20.0,19.998069549672785
19.0,18.98121264439155
18.0,18.004471445133486
18.0,17.99905337378046
17.0,16.993986915464863
16.0,16.000409416692037
16.0,16.001939439657374
12.0,12.072809534099775
12.0,12.009219349444704
13.0,12.99499011810873
14.0,14.045769114642995
16.0,15.995503924670157
18.0,17.989336985354058
19.0,19.000909391010257
21.0,21.06263443734948
23.0,23.041926120975003
24.0,24.055335950921858
26.0,25.996959590608682
26.0,25.991369640545454
25.0,25.035088661728345
21.0,21.006136654346612
20.0,20.015779623573394
15.0,14.996466299946855
14.0,14.004165543343625
13.0,13.008702828913666
12.0,12.011255098045346
11.0,10.964809834925706
10.0,10.00541669523899
8.0,7.985230396870482
8.0,7.931692600681859
8.0,7.98867499166397
8.0,7.990750953153313
9.0,8.950905255246294
9.0,9.032190176635472
8.0,7.983113530613592
8.0,7.991377066729582
8.0,7.997346373785596
9.0,8.99019932341627
11.0,11.001988221865838
14.0,14.027274652990254
17.0,17.01158093167715
20.0,20.01023049215476
19.0,18.93820906581336
19.0,18.97967505641355
18.0,18.006256428744777
18.0,17.999344195324582
17.0,16.993888993273757
15.0,14.996447401977125
12.0,11.986674962657409
12.0,12.009251130154855
12.0,12.006706947255651
11.0,10.950765072204447
12.0,12.013141990550752
13.0,12.983080947388999
13.0,12.937607441366339
13.0,13.015877695776622
12.0,12.01543936618475
12.0,12.01279703047388
13.0,12.994696563740133
13.0,12.933864975423829
13.0,13.017554761644659
13.0,13.017999977894496
15.0,15.022749333273303
16.0,16.012417015164385
16.0,15.997407920391163
18.0,17.99065593895684
18.0,17.92742068517654
18.0,18.013571206389624
16.0,15.99937810080127
16.0,16.00319591136796
15.0,15.004099333439296
14.0,13.989730364557934
14.0,14.005039255806942
14.0,14.001876896437025
13.0,13.00412550997051
12.0,12.009939611643624
12.0,12.013713614687685
12.0,12.015357244438578
11.0,10.96353701013368
10.0,10.004332669957938
10.0,10.006808439250381
10.0,10.010772515251237
12.0,12.02007554989223
14.0,13.994357043286454
16.0,15.995406002479047
18.0,17.99047088837312
18.0,17.928405835777248
21.0,21.125893539960718
22.0,22.05296895560717
23.0,22.97062745836961
23.0,23.009599247419715
22.0,21.992269315687356
20.0,19.98363187944184
18.0,18.001165590958117
17.0,16.9923112439276
17.0,17.01444281239194
15.0,14.99894548810063
14.0,13.990983663993331
13.0,13.005953786056182
13.0,13.010398079223998
12.0,12.015884582434587
12.0,12.013713614687685
11.0,10.96217385584474
11.0,11.020543691299972
10.0,10.007845609709745
8.0,8.00841718744266
10.0,10.026997986876879
12.0,12.020169577836699
15.0,14.972360870054437
18.0,18.002175221127665
21.0,21.124802482190383
23.0,23.041072565863615
24.0,24.054815682312462
24.0,23.991895214726437
24.0,23.96539343820605
22.0,22.000295604980526
21.2,21.303154880221975
21.1,21.1993899318743
19.4,19.559137925470562
17.6,17.551205381570075
16.0,16.002721641172755
16.0,15.998144212967413
15.0,15.004452998122927
15.0,15.006373600577225
14.0,13.98924241114534
12.0,11.956974734642337
12.6,12.288139676872138
12.2,12.12391133005641
11.3,11.498079808567171
10.0,10.008055474875817
8.0,8.008461982818956
12.0,11.982411272269847
14.0,13.995401142857741
18.0,18.008494143542283
20.0,20.06788749427931
22.0,22.059291359875896
24.0,24.027031820525416
24.0,23.995608391934514
23.0,23.061120056045937
22.3,22.304491062305253
21.0,20.95311048140603
20.0,19.999174458700697
18.0,18.002119081237687
16.0,16.012677326453293
15.0,15.004472567614712
15.6,15.538913171863959
14.0,13.926219736812246
14.0,13.9929057202139
14.0,14.001627312364676
13.0,13.004170305346806
13.0,13.010442874600294
13.0,13.017795189198441
12.0,12.015929377810883
12.0,12.01375841006398
13.0,12.993955567057537
14.0,14.045715987828181
15.0,14.947366648500665
16.0,16.01224783447923
17.0,16.993160017133913
18.0,18.055511275261967
20.0,20.067503827173724
21.0,21.024336334602463
20.0,20.029648127391365
21.0,20.976972114841292
19.0,18.96069406972026
18.0,18.002394850723928
17.0,16.98747076386163
17.0,17.014382842769486
17.0,17.015904243430448
16.0,16.007209610264063
15.0,15.004118902931081
